INFO 2024-10-12 12:43:04,356 autoreload Watching for file changes with StatReloader
            ; args=None; alias=default
DEBUG 2024-10-12 12:43:04,468 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-10-12 12:43:04,469 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-10-12 12:43:04,474 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-10-12 12:43:04,567 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1728154885.1639514
DEBUG 2024-10-12 12:43:04,567 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1728154884.9510853
DEBUG 2024-10-12 12:43:04,567 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1728552584.273813
DEBUG 2024-10-12 12:43:04,568 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\backends\mysql\__init__.py first seen with mtime 1728154885.213466
DEBUG 2024-10-12 12:43:04,568 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1728154883.8180115
DEBUG 2024-10-12 12:43:04,568 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1728154885.1954658
DEBUG 2024-10-12 12:43:04,568 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\functional.py first seen with mtime 1728154885.310871
DEBUG 2024-10-12 12:43:04,569 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\forms\models.py first seen with mtime 1728154885.2544818
DEBUG 2024-10-12 12:43:04,569 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\email\_encoded_words.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,569 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\text.py first seen with mtime 1728154885.3162403
DEBUG 2024-10-12 12:43:04,570 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\threading.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,570 autoreload File C:\Users\zawar\PycharmProjects\softui\profiles\apps.py first seen with mtime 1728557465.5499797
DEBUG 2024-10-12 12:43:04,570 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\protocols.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,570 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1728154884.1897206
DEBUG 2024-10-12 12:43:04,570 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1728154885.188468
DEBUG 2024-10-12 12:43:04,570 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1728154885.2434819
DEBUG 2024-10-12 12:43:04,571 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1728154884.7640142
DEBUG 2024-10-12 12:43:04,571 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\forms\utils.py first seen with mtime 1728154885.2554834
DEBUG 2024-10-12 12:43:04,571 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1728154884.3081737
DEBUG 2024-10-12 12:43:04,571 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1728154885.2434819
DEBUG 2024-10-12 12:43:04,571 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\email\charset.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,571 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1728154885.2204669
DEBUG 2024-10-12 12:43:04,572 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1728154883.8200133
DEBUG 2024-10-12 12:43:04,572 autoreload File C:\Users\zawar\PycharmProjects\softui\profiles\models.py first seen with mtime 1728625578.837039
DEBUG 2024-10-12 12:43:04,572 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1728154883.8170128
DEBUG 2024-10-12 12:43:04,572 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1728154885.3192422
DEBUG 2024-10-12 12:43:04,572 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1728552584.281109
DEBUG 2024-10-12 12:43:04,573 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\futures.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,573 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1728154885.203466
DEBUG 2024-10-12 12:43:04,573 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1728154885.2514827
DEBUG 2024-10-12 12:43:04,573 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1728154884.952085
DEBUG 2024-10-12 12:43:04,573 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\fields.py first seen with mtime 1728552584.2788203
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1728154883.3772297
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\email\_parseaddr.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1728154885.1779575
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1728154883.8180115
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\difflib.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\lzma.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,574 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1728552584.4143574
DEBUG 2024-10-12 12:43:04,575 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\encoding.py first seen with mtime 1728154885.309871
DEBUG 2024-10-12 12:43:04,575 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,575 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,576 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1728154885.1824675
DEBUG 2024-10-12 12:43:04,576 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\checks.py first seen with mtime 1728552584.273813
DEBUG 2024-10-12 12:43:04,576 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1728154885.183468
DEBUG 2024-10-12 12:43:04,576 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1728154885.29187
DEBUG 2024-10-12 12:43:04,576 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\signing.py first seen with mtime 1728154885.1719556
DEBUG 2024-10-12 12:43:04,577 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1728552584.410888
DEBUG 2024-10-12 12:43:04,577 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\utils\encoders.py first seen with mtime 1728552584.410888
DEBUG 2024-10-12 12:43:04,577 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1728154885.2084658
DEBUG 2024-10-12 12:43:04,577 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1728154884.1887205
DEBUG 2024-10-12 12:43:04,577 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\views\static.py first seen with mtime 1728154885.3222418
DEBUG 2024-10-12 12:43:04,578 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1728154884.1927187
DEBUG 2024-10-12 12:43:04,578 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1728154885.2274663
DEBUG 2024-10-12 12:43:04,578 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\pickle.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,578 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,578 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1728154885.307871
DEBUG 2024-10-12 12:43:04,578 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1728154885.2494829
DEBUG 2024-10-12 12:43:04,579 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,579 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1728552584.413357
DEBUG 2024-10-12 12:43:04,579 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1728154885.1824675
DEBUG 2024-10-12 12:43:04,579 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,579 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\DLLs\_hashlib.pyd first seen with mtime 1727737472.0
DEBUG 2024-10-12 12:43:04,580 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1728154885.0674772
DEBUG 2024-10-12 12:43:04,580 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1728154884.191719
DEBUG 2024-10-12 12:43:04,580 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\views\debug.py first seen with mtime 1728154885.321242
DEBUG 2024-10-12 12:43:04,580 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\html\__init__.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,580 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\staggered.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\fnmatch.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\utils.py first seen with mtime 1728154885.240482
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1728154885.2938704
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\PIL\_version.py first seen with mtime 1728558405.398428
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\locks.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\timeouts.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,581 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1728154883.371801
DEBUG 2024-10-12 12:43:04,582 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1728154885.3088708
DEBUG 2024-10-12 12:43:04,582 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1728552584.2801025
DEBUG 2024-10-12 12:43:04,582 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,582 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\ast.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,584 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\http\server.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,584 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1728154883.3772297
DEBUG 2024-10-12 12:43:04,584 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\__init__.py first seen with mtime 1728154885.1699562
DEBUG 2024-10-12 12:43:04,584 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\mixins.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,584 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\mail\message.py first seen with mtime 1728154885.1914701
DEBUG 2024-10-12 12:43:04,585 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\MySQLdb\converters.py first seen with mtime 1728155057.7927873
DEBUG 2024-10-12 12:43:04,585 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,585 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\query.py first seen with mtime 1728154885.2394817
DEBUG 2024-10-12 12:43:04,585 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\gettext.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,586 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\wsgi.py first seen with mtime 1728154885.172956
DEBUG 2024-10-12 12:43:04,586 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1728154883.3738022
DEBUG 2024-10-12 12:43:04,586 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1728154885.3262424
DEBUG 2024-10-12 12:43:04,586 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1728154884.0735786
DEBUG 2024-10-12 12:43:04,586 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\files\move.py first seen with mtime 1728154885.1854658
DEBUG 2024-10-12 12:43:04,587 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1728154885.1814678
DEBUG 2024-10-12 12:43:04,587 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\admin_soft_pro\__init__.py first seen with mtime 1728154882.820705
DEBUG 2024-10-12 12:43:04,587 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\utils.py first seen with mtime 1728154885.207466
DEBUG 2024-10-12 12:43:04,587 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1728154884.3101752
DEBUG 2024-10-12 12:43:04,587 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\whitenoise\media_types.py first seen with mtime 1728154883.1074207
DEBUG 2024-10-12 12:43:04,587 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\cache.py first seen with mtime 1728154885.30687
DEBUG 2024-10-12 12:43:04,588 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1728154885.3162403
DEBUG 2024-10-12 12:43:04,588 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1728154885.2988698
DEBUG 2024-10-12 12:43:04,588 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1728154885.183468
DEBUG 2024-10-12 12:43:04,588 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,588 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\encodings\__init__.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,589 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1728154885.2968702
DEBUG 2024-10-12 12:43:04,589 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1728154883.3708007
DEBUG 2024-10-12 12:43:04,589 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\DLLs\_wmi.pyd first seen with mtime 1727737472.0
DEBUG 2024-10-12 12:43:04,589 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1728154883.8190117
DEBUG 2024-10-12 12:43:04,590 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1728154885.1894677
DEBUG 2024-10-12 12:43:04,590 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1728154884.9540849
DEBUG 2024-10-12 12:43:04,590 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\template\library.py first seen with mtime 1728154885.2928703
DEBUG 2024-10-12 12:43:04,590 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\wsgiref\util.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,590 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1728154885.1874678
DEBUG 2024-10-12 12:43:04,591 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\constants.py first seen with mtime 1728154885.2354832
DEBUG 2024-10-12 12:43:04,591 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1728154885.188468
DEBUG 2024-10-12 12:43:04,591 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\transports.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,591 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1728154884.7650137
DEBUG 2024-10-12 12:43:04,591 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1728154885.2094655
DEBUG 2024-10-12 12:43:04,592 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\forms\renderers.py first seen with mtime 1728154885.2544818
DEBUG 2024-10-12 12:43:04,592 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\pprint.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,592 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\calendar.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,592 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,592 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1728154883.3782296
DEBUG 2024-10-12 12:43:04,593 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1728154885.245482
DEBUG 2024-10-12 12:43:04,593 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,593 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1728154883.8160148
DEBUG 2024-10-12 12:43:04,593 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1728154884.0755777
DEBUG 2024-10-12 12:43:04,593 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\admin_soft_pro\forms.py first seen with mtime 1728154882.8216372
DEBUG 2024-10-12 12:43:04,594 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\numberformat.py first seen with mtime 1728154885.3152418
DEBUG 2024-10-12 12:43:04,594 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\authtoken\__init__.py first seen with mtime 1728552584.2905598
DEBUG 2024-10-12 12:43:04,594 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1728154885.303871
DEBUG 2024-10-12 12:43:04,594 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\DLLs\_asyncio.pyd first seen with mtime 1727737472.0
DEBUG 2024-10-12 12:43:04,594 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\backends\mysql\introspection.py first seen with mtime 1728154885.2154653
DEBUG 2024-10-12 12:43:04,595 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1728154885.2878704
DEBUG 2024-10-12 12:43:04,595 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\logging\handlers.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,595 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1728154885.307871
DEBUG 2024-10-12 12:43:04,595 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,595 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\forms\__init__.py first seen with mtime 1728154885.252483
DEBUG 2024-10-12 12:43:04,596 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\sysconfig.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,596 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\rest_framework\utils\urls.py first seen with mtime 1728552584.4143574
DEBUG 2024-10-12 12:43:04,596 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1728154885.2334824
DEBUG 2024-10-12 12:43:04,597 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\asyncio\runners.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,597 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\numbers.py first seen with mtime 1727737420.0
DEBUG 2024-10-12 12:43:04,597 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1728154885.245482
DEBUG 2024-10-12 12:43:04,597 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\admin_soft_pro\templatetags\__init__.py first seen with mtime 1728154883.0656936
DEBUG 2024-10-12 12:43:04,597 autoreload File C:\Users\zawar\PycharmProjects\softui\env\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1728154885.188468
DEBUG 2024-10-12 12:43:04,598 autoreload File C:\Users\zawar\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py first seen with mtime 1727737420.0
